"GeneID","trtsCHBroca","trtsCHCaudate","trtsCHCerebellum","trtsCHPrefrontal","trtsHUBroca","trtsHUCaudate","trtsHUCerebellum","trtsHUPrefrontal","ChVsHu","CeVsBr","Interact","p ChVsHu","p CeVsBr","p Interact","adjp ChVsHu","adjp CeVsBr","adjp Interact"
"1033_g_at","6.19369366978824","6.15572913369321","6.11498503149509","6.15969192438398","6.19001556614488","6.34138802761833","6.124849784706","6.13363752740795","-0.0414477866291625","-0.0719372098660194","-0.013542856854273","0.667393762688453","0.248235628629161","0.912045969600752","1","1","1"
"1034_at","6.74557834810621","6.75022279709033","6.64282879452572","6.69604705879817","6.78037338017577","6.92742029500891","6.57212791037182","6.68328945687504","-0.0321335109777743","-0.155497511692219","0.105495916223461","0.706007591729114","0.00847527156593188","0.335586746844436","1","0.0732377163038261","1"
"1035_g_at","6.79007841025607","6.93506950764817","6.80601370717601","6.95580905539738","6.8355315355464","6.97233715314127","6.77781699545363","6.85481754764295","0.0116168621733448","-0.0208896215864129","0.0736498370127112","0.889417562687608","0.695123549750103","0.491338503995033","1","1","1"
"1036_at","3.42928237267542","3.39707860017009","3.4853722364192","3.35655765555578","3.2453885739153","3.19297248013908","3.23677440167509","3.17156233596715","0.205398268280968","0.0237378457517856","0.0647040359839837","0.0723025512411177","0.734698865523376","0.644578795317248","1","1","1"
"1037_at","4.0247999079333","3.96838861663648","3.91341350276764","3.86133606397428","3.78940223097752","3.78694896909255","3.78414596141853","3.82724251549629","0.145049603581703","-0.0583213373623328","-0.106130135606671","0.068192516805145","0.238292588985561","0.281900894154563","0.985798310685064","1","1"
"1038_s_at","5.92309644310286","6.12127163447289","5.82909008848236","6.0203477158413","5.75472622795974","5.81055179468793","5.58772093604989","5.85269880282539","0.222027030094113","-0.130505823265176","0.0729989372893387","0.203141803406969","0.238856607091598","0.73792405927303","1","1","1"
"1039_s_at","4.87317789692331","5.13932056624149","5.75210405142138","5.03495990598532","4.83259929436552","5.05493717599359","5.42428895175212","4.99400771657464","0.123432320471405","0.735307905942334","0.287236497111461","0.30635220772209","2.79694567500988e-09","0.0691915961367155","1","1.62975872986153e-07","1"
"104_at","5.27983655146376","5.2281398022347","5.39106107212183","5.2638354751098","4.98227417208482","5.09079521682974","5.15741777587631","4.92330269879459","0.252270759336155","0.143184062224779","-0.0639190831334124","0.0145079797273983","0.0271850051003896","0.601619896615962","0.402851709805872","0.195296641647428","1"
"1040_s_at","5.20819896288686","5.18482688191399","5.10747494067063","5.17990504092875","5.15836032976369","5.19216377634745","5.0964645569811","5.18823619067191","0.011295243159019","-0.0813098974994091","-0.0388282494336352","0.881796677831793","0.103712773604222","0.688728288440553","1","0.580825269889088","1"
"1041_at","5.37102383546991","5.26224974803936","5.38813768860798","5.37180851721482","5.24597392432954","5.16789340549713","5.28084486270449","5.23590187587824","0.115651430230669","0.0259923957565054","-0.0177570852368749","0.197675512049011","0.643584658674039","0.87413209190558","1","1","1"
